时间 - 电压,幅值 - 电压,时间 - 电压_0,幅值 2 - 电压_0,时间 - 电压_1,幅值 3 - 电压_1
12:38.7,-0.0295591,12:38.7,-0.163852,12:38.7,0.0858593
12:38.7,0.430936,12:38.7,-0.136265,12:38.7,0.135261
12:38.7,0.683615,12:38.7,0.00457525,12:38.7,0.064224
12:38.7,0.87229,12:38.7,0.186566,12:38.7,-0.120578
12:38.7,0.736978,12:38.7,0.266538,12:38.7,-0.193154
12:38.7,0.239577,12:38.7,0.275432,12:38.7,-0.293107
12:38.7,-0.112987,12:38.7,0.264331,12:38.7,-0.46459
12:38.7,-0.457704,12:38.7,0.180236,12:38.7,-0.443789
12:38.7,-0.664256,12:38.7,0.0116158,12:38.7,-0.285425
12:38.7,-0.588746,12:38.7,-0.0930274,12:38.7,-0.145127
12:38.7,-0.423807,12:38.7,-0.183895,12:38.7,0.0357831
12:38.7,0.0185204,12:38.7,-0.250376,12:38.7,0.170542
12:38.7,0.378575,12:38.7,-0.205137,12:38.7,0.217297
12:38.7,0.658311,12:38.7,-0.0714421,12:38.7,0.27458
12:38.7,0.84012,12:38.7,0.0298119,12:38.7,0.212548
12:38.7,0.694516,12:38.7,0.135381,12:38.7,0.0157356
12:38.7,0.609095,12:38.7,0.287032,12:38.7,-0.105007
12:38.7,0.374169,12:38.7,0.362171,12:38.7,-0.210193
12:38.7,0.0744033,12:38.7,0.347652,12:38.7,-0.350692
12:38.7,-0.0833404,12:38.7,0.255917,12:38.7,-0.327946
12:38.7,-0.0440991,12:38.7,0.191635,12:38.7,-0.232738
12:38.7,-0.0360727,12:38.7,0.0694418,12:38.7,-0.150653
12:38.7,0.147876,12:38.7,-0.0896072,12:38.7,0.0232792
12:38.7,0.477474,12:38.7,-0.16484,12:38.7,0.138299
12:38.7,0.489482,12:38.7,-0.12432,12:38.7,0.153215
12:38.7,0.251788,12:38.7,-0.0707817,12:38.7,0.206826
12:38.7,0.380961,12:38.7,-0.0108635,12:38.7,0.174253
12:38.7,0.13491,12:38.7,0.153145,12:38.7,0.0370347
12:38.7,-0.44425,12:38.7,0.346224,12:38.7,-0.0109732
12:38.7,-0.598857,12:38.7,0.499159,12:38.7,-0.0373173
12:38.7,-0.808716,12:38.7,0.599546,12:38.7,-0.142351
12:38.7,-0.821047,12:38.7,0.569501,12:38.7,-0.145339
12:38.7,-0.369284,12:38.7,0.462772,12:38.7,-0.0784898
12:38.7,-0.074048,12:38.7,0.304821,12:38.7,-0.0520635
12:38.7,0.0997949,12:38.7,0.0946999,12:38.7,-0.00728488
12:38.7,0.442781,12:38.7,-0.180131,12:38.7,0.0367975
12:38.7,0.430489,12:38.7,-0.392879,12:38.7,0.0646913
12:38.7,0.365752,12:38.7,-0.523245,12:38.7,0.115626
12:38.7,0.246903,12:38.7,-0.587966,12:38.7,0.153953
12:38.7,-0.258127,12:38.7,-0.516671,12:38.7,0.0877905
12:38.7,-0.4761,12:38.7,-0.332831,12:38.7,0.0452757
12:38.7,-0.626888,12:38.7,-0.18966,12:38.7,0.0190008
12:38.7,-0.876824,12:38.7,-0.0398076,12:38.7,-0.0423098
12:38.7,-0.726544,12:38.7,0.191282,12:38.7,-0.0636709
12:38.7,-0.317899,12:38.7,0.344486,12:38.7,-0.144848
12:38.7,0.0690019,12:38.7,0.317723,12:38.7,-0.264239
12:38.7,0.338637,12:38.7,0.22729,12:38.7,-0.263044
12:38.7,0.480164,12:38.7,0.191878,12:38.7,-0.17104
12:38.7,0.649078,12:38.7,0.110362,12:38.7,-0.112376
12:38.7,0.661058,12:38.7,-0.117532,12:38.7,-0.0678122
12:38.7,0.418831,12:38.7,-0.298728,12:38.7,0.0242376
12:38.7,0.178283,12:38.7,-0.348034,12:38.7,0.109339
12:38.7,-0.154562,12:38.7,-0.338217,12:38.7,0.17112
12:38.7,-0.340855,12:38.7,-0.299425,12:38.7,0.220892
12:38.7,-0.199968,12:38.7,-0.190691,12:38.7,0.175318
12:38.7,-0.0993824,12:38.7,-0.068469,12:38.7,0.0432825
12:38.7,-0.0986457,12:38.7,0.0235677,12:38.7,-0.0263941
12:38.7,-0.0947797,12:38.7,0.106105,12:38.7,-0.0608933
12:38.7,-0.0121796,12:38.7,0.1494,12:38.7,-0.128781
12:38.7,0.0437129,12:38.7,0.0729883,12:38.7,-0.232338
12:38.7,-0.0276697,12:38.7,-0.0878918,12:38.7,-0.274559
12:38.7,-0.117276,12:38.7,-0.234945,12:38.7,-0.199523
12:38.7,-0.237436,12:38.7,-0.342131,12:38.7,-0.0816572
12:38.7,-0.223674,12:38.7,-0.419613,12:38.7,-0.0214052
12:38.7,-0.0931633,12:38.7,-0.484719,12:38.7,0.0177693
12:38.7,-0.0772405,12:38.7,-0.504913,12:38.7,0.123889
12:38.7,-0.0512779,12:38.7,-0.412965,12:38.7,0.214931
12:38.7,0.0457311,12:38.7,-0.212923,12:38.7,0.236477
12:38.7,0.290449,12:38.7,-0.0614893,12:38.7,0.194072
12:38.7,0.434109,12:38.7,0.0132382,12:38.7,0.111061
12:38.7,-0.00367045,12:38.7,0.0840676,12:38.7,0.0391722
12:38.7,-0.182046,12:38.7,0.161521,12:38.7,0.0276506
12:38.7,-0.171781,12:38.7,0.165553,12:38.7,-0.0219846
12:38.7,-0.2986,12:38.7,0.0726557,12:38.7,-0.111074
12:38.7,-0.354322,12:38.7,-0.0558591,12:38.7,-0.0967908
12:38.7,-0.422256,12:38.7,-0.156366,12:38.7,-0.0648248
12:38.7,-0.193342,12:38.7,-0.25972,12:38.7,-0.0385642
12:38.7,0.105577,12:38.7,-0.363795,12:38.7,0.0469279
12:38.7,0.17938,12:38.7,-0.413023,12:38.7,0.126039
12:38.7,0.236305,12:38.7,-0.399535,12:38.7,0.114222
12:38.7,0.386068,12:38.7,-0.373589,12:38.7,0.15861
12:38.7,0.296147,12:38.7,-0.362322,12:38.7,0.200905
12:38.7,0.0882459,12:38.7,-0.29224,12:38.7,0.0933349
12:38.7,-0.0533795,12:38.7,-0.159111,12:38.7,0.0398517
12:38.7,-0.282362,12:38.7,-0.0637019,12:38.7,0.0457263
12:38.7,-0.428395,12:38.7,-0.037111,12:38.7,0.0484538
12:38.7,-0.156641,12:38.7,-0.0347865,12:38.7,0.0836182
12:38.7,0.121818,12:38.7,0.00598669,12:38.7,0.100416
12:38.7,0.339023,12:38.7,-0.000517368,12:38.7,0.109404
12:38.7,0.57507,12:38.7,-0.0834203,12:38.7,0.202633
12:38.7,0.598603,12:38.7,-0.126442,12:38.7,0.253309
12:38.7,0.400047,12:38.7,-0.0862873,12:38.7,0.224595
12:38.7,0.142994,12:38.7,-0.0890183,12:38.7,0.205377
12:38.7,-0.0664175,12:38.7,-0.149894,12:38.7,0.120659
12:38.7,-0.455985,12:38.7,-0.0911236,12:38.7,-0.0165582
12:38.7,-0.695111,12:38.7,0.00850677,12:38.7,-0.119784
12:38.7,-0.675421,12:38.7,0.04861,12:38.7,-0.242996
12:38.7,-0.613981,12:38.7,0.0723398,12:38.7,-0.352603
12:38.7,-0.543287,12:38.7,0.0613725,12:38.7,-0.29496
12:38.7,-0.295912,12:38.7,0.0636339,12:38.7,-0.205708
12:38.7,-0.0150895,12:38.7,0.0569761,12:38.7,-0.163323
12:38.7,0.214108,12:38.7,0.074054,12:38.7,-0.00263095
12:38.7,0.418658,12:38.7,-0.010457,12:38.7,0.151523
12:38.7,0.31549,12:38.7,-0.0954843,12:38.7,0.21418
12:38.7,0.295061,12:38.7,-0.1054,12:38.7,0.292826
12:38.7,0.383666,12:38.7,-0.0671661,12:38.7,0.272996
12:38.7,0.176756,12:38.7,-0.0540674,12:38.7,0.126884
12:38.7,0.0265646,12:38.7,-0.0414932,12:38.7,0.0174308
12:38.7,0.0721645,12:38.7,-0.0292337,12:38.7,-0.137067
12:38.7,0.138884,12:38.7,0.0401151,12:38.7,-0.313694
12:38.7,0.348122,12:38.7,0.138726,12:38.7,-0.333959
12:38.7,0.312903,12:38.7,0.239469,12:38.7,-0.317165
12:38.7,0.222229,12:38.7,0.313891,12:38.7,-0.290598
12:38.7,0.424194,12:38.7,0.302367,12:38.7,-0.130805
12:38.7,0.265853,12:38.7,0.252748,12:38.7,-0.0280786
12:38.7,0.079608,12:38.7,0.256934,12:38.7,-0.0627077
12:38.7,0.107514,12:38.7,0.239481,12:38.7,-0.0306761
12:38.7,-0.256104,12:38.7,0.0874054,12:38.7,0.00148058
12:38.7,-0.346075,12:38.7,-0.124865,12:38.7,-0.0586915
12:38.7,-0.212954,12:38.7,-0.187784,12:38.7,-0.0859964
12:38.7,-0.27756,12:38.7,-0.168979,12:38.7,-0.131508
