time_sec,channel_1,channel_2,channel_3
0.0,0.405436,-0.0804758,-0.0917184
0.0,0.219309,-0.0910783,0.279958
0.0,0.19061,0.0347805,0.478184
0.0,0.066334,0.140598,0.520332
0.0,-0.267893,0.148495,0.43569
0.0,-0.122732,0.151726,0.129062
0.0,0.0647533,0.223588,-0.246977
0.0,-0.145236,0.175033,-0.491608
0.0,0.0358582,0.100198,-0.688938
0.0,0.0830877,0.0407457,-0.720928
0.0,-0.184186,-0.0200438,-0.489717
0.0,-0.0158882,-0.0876081,-0.25219
0.0,-0.111485,0.0178838,-0.0453353
0.0,-0.236937,0.168314,0.219302
0.0,0.0968325,0.194119,0.259444
0.0,0.0325084,0.209923,0.162991
0.0,-0.177904,0.315273,0.052551
0.0,-0.057205,0.283899,-0.222231
0.0,-0.176607,0.116389,-0.504889
0.0,-0.0956857,-0.00201583,-0.509189
0.0,0.113844,-0.0427914,-0.446062
0.0,-0.10671,-0.228983,-0.383041
0.0,-0.180981,-0.399665,-0.0589347
0.0,-0.179073,-0.423681,0.276246
0.0,-0.0505567,-0.36688,0.471566
0.0,0.0536942,-0.322866,0.647244
0.0,-0.00908732,-0.19502,0.624067
0.0,0.280073,-0.0907087,0.40678
0.0,0.447402,-0.0389874,0.22342
0.0,0.202564,0.0375891,-0.0341356
0.0,0.0803459,0.120534,-0.356134
0.0,0.047071,0.123655,-0.45887
0.0,-0.183916,0.101535,-0.450007
0.0,-0.348672,0.0613654,-0.342641
0.0,-0.456178,-0.0917912,-0.0291216
0.0,-0.732365,-0.221461,0.240618
0.0,-0.724783,-0.244014,0.343251
0.0,-0.537641,-0.285408,0.451113
0.0,-0.576601,-0.305068,0.422437
0.0,-0.371543,-0.204159,0.156647
0.0,0.0349534,-0.000396967,-0.10987
0.0,0.294776,0.175098,-0.396967
0.0,0.337605,0.266844,-0.699612
0.0,0.297074,0.317439,-0.741588
0.0,0.244057,0.37832,-0.598619
0.0,-0.0194371,0.298052,-0.418764
0.0,-0.267618,0.0924635,-0.0436056
0.0,-0.412196,-0.079881,0.378724
0.0,-0.350041,-0.20349,0.548635
0.0,0.112494,-0.312033,0.557679
0.0,0.390608,-0.344063,0.490291
0.0,0.567216,-0.280985,0.265267
0.0,0.92523,-0.28777,-0.0523114
0.0,0.91848,-0.245486,-0.288229
0.0,0.713538,-0.0745714,-0.449302
0.0,0.404273,0.0303245,-0.471727
0.0,-0.247768,0.0279856,-0.297724
0.0,-0.648317,-0.0517774,-0.0256479
0.0,-0.678582,-0.115621,0.316151
0.0,-0.907825,-0.161237,0.615804
0.0,-0.716051,-0.182164,0.727029
0.0,-0.067389,-0.268338,0.71123
0.0,0.341179,-0.313352,0.535386
0.0,0.748348,-0.243341,0.146593
0.0,0.914217,-0.197858,-0.194713
0.0,0.631136,-0.090543,-0.35459
0.0,0.547017,0.114622,-0.507854
0.0,0.145959,0.248594,-0.542496
0.0,-0.356766,0.27824,-0.269986
0.0,-0.485636,0.299987,-0.0207376
0.0,-0.447828,0.19632,0.207684
0.0,-0.369917,-0.0173259,0.598757
0.0,-0.240374,-0.280513,0.778557
0.0,0.113822,-0.512253,0.632459
0.0,0.545403,-0.701536,0.459986
0.0,0.689454,-0.77801,0.140395
0.0,0.589088,-0.751597,-0.361542
0.0,0.377265,-0.628097,-0.606853
0.0,0.0923729,-0.31213,-0.681483
0.0,-0.124005,0.00678062,-0.714403
0.0,-0.191391,0.208814,-0.486755
0.0,-0.378994,0.429019,-0.159248
0.0,-0.296681,0.610456,0.0968766
0.0,0.0423205,0.564709,0.424649
0.0,0.261434,0.326903,0.628575
0.0,0.341147,0.145828,0.544672
0.0,0.383987,-0.0668979,0.436004
0.0,0.438138,-0.263932,0.221707
0.0,0.2828,-0.39964,-0.12697
0.0,0.0736105,-0.413389,-0.329425
0.0,-0.238881,-0.372149,-0.415291
0.0,-0.471773,-0.178577,-0.442975
0.0,-0.292541,0.0779009,-0.269054
0.0,-0.151706,0.298615,-0.0552177
0.0,-0.0865304,0.387925,0.0301301
0.0,0.128613,0.357995,0.198131
0.0,0.225147,0.252167,0.318278
0.0,0.314858,0.112133,0.249209
0.0,0.164142,-0.129286,0.244972
0.0,-0.188386,-0.382295,0.218297
0.0,-0.363342,-0.572989,-0.0186229
0.0,-0.465075,-0.63696,-0.171196
0.0,-0.593578,-0.575945,-0.163517
0.0,-0.544075,-0.387225,-0.21641
0.0,-0.210351,-0.164948,-0.172234
0.0,0.0530076,0.134405,-0.0606239
0.0,0.254833,0.404488,-0.0148463
0.0,0.408425,0.450332,0.0607622
0.0,0.309808,0.306491,0.149643
0.0,0.324291,0.253718,0.140316
0.0,0.433365,0.089426,0.142051
0.0,0.427853,-0.206786,0.144364
0.0,0.281906,-0.408208,0.0186825
0.0,0.0557172,-0.455133,-0.0994396
0.0,0.0707006,-0.468463,-0.135024
0.0,0.156999,-0.371337,-0.156623
0.0,0.270834,-0.0978863,-0.101759
0.0,0.41491,0.22544,0.0270569
0.0,0.434994,0.424824,0.130104
0.0,0.351273,0.555454,0.252098
0.0,0.344465,0.628555,0.340266
0.0,0.142341,0.517421,0.328394
0.0,-0.0938141,0.251393,0.334417
0.0,-0.0274765,0.0729024,0.348032
0.0,-0.0848866,-0.0179529,0.227164
0.0,-0.289161,-0.217124,0.0680685
0.0,-0.110195,-0.314406,0.00977159
0.0,-0.0865614,-0.1289,-0.0437236
0.0,-0.21217,0.0360441,-0.0900674
0.0,0.0162065,0.150311,-0.0442052
0.0,0.205363,0.395441,-0.00383496
0.0,0.323507,0.563279,-0.0437188
0.0,0.414076,0.443376,-0.0816834
0.0,0.304289,0.347766,-0.147071
0.0,0.111487,0.231524,-0.215777
0.0,0.0986648,-0.0446761,-0.208879
0.0,-0.0195706,-0.272412,-0.228477
0.0,-0.0241017,-0.306778,-0.280074
0.0,0.237522,-0.343196,-0.26668
0.0,0.199623,-0.388991,-0.160949
0.0,0.237833,-0.20934,-0.0362003
0.0,0.123255,0.0773561,0.0722361
0.0,0.00309467,0.312855,0.107601
0.0,0.0552642,0.509301,0.0777376
0.0,-0.227042,0.717943,0.076015
0.0,-0.392355,0.811683,0.000985861
0.0,-0.329719,0.74507,-0.11891
0.0,-0.179191,0.577415,-0.173708
0.0,-0.00660896,0.340327,-0.214955
0.0,0.0270498,0.117583,-0.239241
0.0,0.182776,-0.0767684,-0.188758
0.0,0.291575,-0.215695,-0.12821
0.0,0.313143,-0.343108,-0.0894499
0.0,0.224921,-0.379575,0.0149858
0.0,0.108823,-0.279456,0.16862
0.0,-0.0304794,-0.125477,0.244405
0.0,-0.0216043,-0.00397921,0.172504
0.0,-0.023396,0.157194,0.0104117
0.0,-0.210966,0.310102,-0.103972
0.0,-0.0706267,0.26961,-0.134909
0.0,0.247741,0.21197,-0.271382
0.0,0.436369,0.257072,-0.407951
0.0,0.564424,0.216619,-0.374204
0.0,0.33705,0.00111341,-0.272807
0.0,0.345387,-0.137337,-0.128629
0.0,0.474257,-0.167559,0.0644255
0.0,0.194814,-0.235578,0.186265
0.0,-0.146016,-0.194799,0.196209
0.0,-0.348455,-0.0660443,0.174724
0.0,-0.333843,0.079143,0.0912285
0.0,-0.282227,0.180753,-0.0821018
0.0,-0.214311,0.272747,-0.224004
0.0,0.0667691,0.307751,-0.367759
0.0,0.420418,0.346196,-0.405791
0.0,0.617169,0.319264,-0.305988
0.0,0.542988,0.203922,-0.2318
0.0,0.374695,0.0924265,-0.168798
0.0,0.000181198,0.0689209,0.0363696
0.0,-0.306593,0.0375533,0.202531
0.0,-0.570701,-0.0111413,0.250757
0.0,-0.890298,0.020225,0.264075
0.0,-0.825745,0.0967085,0.185101
0.0,-0.448213,0.123378,0.0899923
0.0,0.0628781,0.0399196,0.0373089
0.0,0.476587,-0.0383735,-0.0676799
0.0,0.609201,-0.0131464,-0.14706
0.0,0.930704,-0.0436521,-0.171558
0.0,0.816203,-0.109609,-0.264777
0.0,0.149035,-0.041765,-0.249068
0.0,-0.203773,0.0608087,-0.0567853
0.0,-0.443132,0.0264585,0.0149965
0.0,-0.577544,0.00324965,0.0187874
0.0,-0.466176,0.0110602,0.149691
0.0,-0.349661,0.0135243,0.239651
0.0,-0.0176525,-0.0411415,0.191157
0.0,0.520842,-0.0966251,0.19393
0.0,0.580974,-0.233018,0.111767
0.0,0.473825,-0.307646,-0.0260353
0.10000000000002274,0.422448,-0.236622,-0.0325191
0.10000000000002274,-0.00891805,-0.191824,-0.0137591
0.10000000000002274,-0.396978,-0.231658,-0.04022
0.10000000000002274,-0.69598,-0.237999,-0.0257599
0.10000000000002274,-0.997801,-0.173402,0.102177
0.10000000000002274,-0.997572,-0.142255,0.224622
0.10000000000002274,-0.636611,-0.144387,0.359784
0.10000000000002274,-0.214589,-0.10731,0.392499
0.10000000000002274,0.12442,-0.106299,0.306574
0.10000000000002274,0.465547,-0.117587,0.261496
0.10000000000002274,0.718125,-0.118816,0.184557
0.10000000000002274,0.979775,-0.0907457,0.0938165
0.10000000000002274,1.02683,-0.0828695,-0.000696182
0.10000000000002274,0.463774,-0.0334871,-0.144801
0.10000000000002274,-0.140042,0.0843656,-0.226912
0.10000000000002274,-0.450562,0.244756,-0.132242
0.10000000000002274,-0.559728,0.279922,-0.0559211
0.10000000000002274,-0.551794,0.159942,-0.0310194
0.10000000000002274,-0.671761,0.0595903,0.128134
0.10000000000002274,-0.338917,0.0552022,0.289661
0.10000000000002274,0.420343,-0.0496829,0.367362
0.10000000000002274,0.719098,-0.311803,0.411876
0.10000000000002274,0.673751,-0.44366,0.398198
0.10000000000002274,0.67232,-0.438066,0.203369
0.10000000000002274,0.58105,-0.40314,0.0222075
0.10000000000002274,0.20578,-0.300322,-0.0764155
0.10000000000002274,-0.130923,-0.0841939,-0.196165
0.10000000000002274,-0.425086,0.0863731,-0.30708
0.10000000000002274,-0.497565,0.141956,-0.340792
0.10000000000002274,-0.392164,0.214332,-0.330958
0.10000000000002274,-0.296953,0.255948,-0.279603
0.10000000000002274,0.0271916,0.163738,-0.167396
0.10000000000002274,0.049485,-0.00540733,-0.114861
0.10000000000002274,-0.12839,-0.130674,-0.11977
0.10000000000002274,-0.125872,-0.228091,-0.103917
0.10000000000002274,-0.255364,-0.391548,-0.146294
0.10000000000002274,-0.350615,-0.503951,-0.166695
0.10000000000002274,-0.59477,-0.499614,-0.103693
0.10000000000002274,-0.773641,-0.3756,-0.0521255
0.10000000000002274,-0.443623,-0.233796,-0.0396729
0.10000000000002274,-0.244559,-0.0779414,0.0103796
0.10000000000002274,-0.276757,0.0144327,0.00165939
0.10000000000002274,-0.0680089,0.145699,-0.0450194
0.10000000000002274,0.0950873,0.255673,-0.0779557
0.10000000000002274,-0.0379884,0.245066,-0.169466
0.10000000000002274,0.00666618,0.106759,-0.177281
